run;timeframe;submitted;confirmed;pending
0;73361360854;100;40;60
0;80913214212;113;112;1
1;78768058505;121;53;68
2;78082334139;119;119;0
3;76514893874;123;102;21
4;77279648618;118;76;42
5;75081270138;109;55;54
6;77571246861;123;84;39
7;80294556846;127;101;26
8;77026565996;126;57;69
9;76897007051;122;42;80
10;77423277737;126;96;30
11;88922686527;115;115;0
12;80204128018;117;93;24
13;79710030003;121;121;0
14;76315049259;117;117;0
15;77984601538;118;111;7
16;76749179065;116;116;0
17;76634132084;122;79;43
18;78587228678;116;80;36
