run;timeframe;submitted;confirmed;pending
0;77184273800;124;124;0
1;78014787582;122;122;0
2;78659916662;117;117;0
3;78319488876;124;124;0
4;75642265276;116;116;0
5;75697071224;111;111;0
6;77115455256;119;119;0
7;77338767940;119;119;0
8;77737217617;121;121;0
9;77743479505;123;123;0
10;77070680387;120;103;17
11;76958384333;116;98;18
12;76616758969;121;113;8
13;76120657904;117;110;7
14;78506763767;122;108;14
15;77280697101;121;116;5
16;75422310651;105;105;0
17;76312746728;119;119;0
18;77598442828;123;123;0
19;77248657624;120;119;1
