run;timeframe;submitted;confirmed;pending
0;76647704488;116;116;0
1;76506392402;124;124;0
2;76706796389;120;120;0
3;77930278990;119;119;0
4;76988651282;120;120;0
5;77935120413;122;122;0
6;75984643594;112;112;0
7;75884876499;117;117;0
8;75504583694;115;115;0
9;76198448437;117;117;0
10;76450521496;120;120;0
11;77210521800;117;117;0
12;76807318187;120;120;0
13;77001253082;117;117;0
14;77796635372;124;124;0
15;77424222751;118;118;0
16;76879037801;120;120;0
17;77455037883;122;122;0
18;76930460973;117;117;0
19;77874288564;118;118;0
