run;timeframe;submitted;confirmed;pending
0;77208028939;130;130;0
1;77924722269;132;132;0
2;77512302892;131;131;0
3;77504041466;131;131;0
4;77603388117;131;131;0
5;76654228153;131;131;0
6;76246209344;127;127;0
7;77061351922;129;129;0
8;77423172695;132;132;0
9;77397784541;133;133;0
10;77587488788;131;131;0
11;77483827311;131;131;0
12;76902247058;129;129;0
13;76789352269;131;131;0
14;78192328297;133;133;0
15;77300269739;130;130;0
16;77786232203;134;134;0
17;78617146230;132;132;0
18;76859494506;128;128;0
19;74826703088;112;112;0
