run;timeframe;submitted;confirmed;pending
0;68147110422;36;36;0
1;66249976404;31;31;0
2;65936162063;31;31;0
3;66542306837;32;32;0
4;65933050206;31;31;0
5;66374302870;33;33;0
6;66772178066;34;34;0
7;68353647223;43;43;0
8;68596386679;45;45;0
9;69446604681;47;47;0
10;68589058160;45;45;0
11;69070585713;46;46;0
12;67917477438;41;41;0
13;68810013106;46;46;0
14;68215178642;43;43;0
15;67776888394;41;41;0
16;68401757795;42;42;0
17;69392602430;47;47;0
18;68636654806;44;44;0
19;69159182265;46;46;0
