run;timeframe;submitted;confirmed;pending
0;77115012124;121;121;0
0;76874431289;126;126;0
1;77672458794;128;127;1
2;77975208544;129;129;0
3;76358258266;125;125;0
4;77209590976;126;126;0
5;77183749225;128;128;0
6;77535115307;130;130;0
7;78086376803;125;125;0
8;79489624271;123;123;0
9;77943560155;129;129;0
10;77911248708;129;125;4
11;77877244521;126;126;0
0;76302178753;118;118;0
1;77367718258;125;118;7
2;79235748130;128;128;0
3;76781524974;120;120;0
4;77170409333;124;124;0
5;77428508953;123;122;1
6;77413333306;124;124;0
