run;timeframe;submitted;confirmed;pending
0;69702292980;48;48;0
1;65570432513;26;26;0
2;64986955944;26;26;0
3;65015287167;26;26;0
4;64770387354;24;24;0
5;64320734274;23;23;0
6;65503882731;28;28;0
7;65104391620;24;24;0
8;64607019791;24;24;0
9;66736924716;35;35;0
10;69042645937;46;46;0
11;68920748642;45;45;0
12;68804654301;46;46;0
13;69417407693;47;47;0
14;68620665746;45;45;0
15;69049989684;46;46;0
16;68882352193;46;46;0
17;69097999208;46;46;0
18;68540749877;45;45;0
19;68716404170;45;45;0
