run;confirmationTime;gasUsed;gasPrice;gasCosts
0;9726539396;48005;50000000000;2400250000000000
1;14133797649;48005;50000000000;2400250000000000
2;14323292989;48005;50000000000;2400250000000000
3;14351438089;48005;50000000000;2400250000000000
4;14283090158;48005;50000000000;2400250000000000
5;14278295812;48005;50000000000;2400250000000000
6;14178780945;48005;50000000000;2400250000000000
7;14091451213;48005;50000000000;2400250000000000
8;14385094119;48005;50000000000;2400250000000000
9;14235646581;48005;50000000000;2400250000000000
10;14168403458;48005;50000000000;2400250000000000
11;14347041485;48005;50000000000;2400250000000000
12;14244276146;48005;50000000000;2400250000000000
13;14312380692;48005;50000000000;2400250000000000
14;14246431633;48005;50000000000;2400250000000000
15;14067477059;48005;50000000000;2400250000000000
16;14324071937;48005;50000000000;2400250000000000
17;14158575328;48005;50000000000;2400250000000000
18;14126215621;48005;50000000000;2400250000000000
19;14404047434;48005;50000000000;2400250000000000
20;14200398834;48005;50000000000;2400250000000000
21;14304331091;48005;50000000000;2400250000000000
22;14158275616;48005;50000000000;2400250000000000
23;14328348156;48005;50000000000;2400250000000000
24;14293645692;48005;50000000000;2400250000000000
25;14311593312;48005;50000000000;2400250000000000
26;14080267621;48005;50000000000;2400250000000000
27;14280367055;48005;50000000000;2400250000000000
28;14409332921;48005;50000000000;2400250000000000
29;14197605233;48005;50000000000;2400250000000000
30;14259340600;48005;50000000000;2400250000000000
31;14078610962;48005;50000000000;2400250000000000
32;14256047375;48005;50000000000;2400250000000000
33;14449690141;48005;50000000000;2400250000000000
34;14041996464;48005;50000000000;2400250000000000
35;14402565358;48005;50000000000;2400250000000000
36;14050521854;48005;50000000000;2400250000000000
37;14446813780;48005;50000000000;2400250000000000
38;14084607395;48005;50000000000;2400250000000000
39;14218459742;48005;50000000000;2400250000000000
40;14297386442;48005;50000000000;2400250000000000
41;14445170029;48005;50000000000;2400250000000000
42;14171898305;48005;50000000000;2400250000000000
43;14358468141;48005;50000000000;2400250000000000
44;14114552098;48005;50000000000;2400250000000000
45;14577586327;48005;50000000000;2400250000000000
46;14136918170;48005;50000000000;2400250000000000
47;14243300841;48005;50000000000;2400250000000000
48;14198092789;39003;50000000000;1950150000000000
49;14283996355;48005;50000000000;2400250000000000
50;14069616152;48005;50000000000;2400250000000000
51;14183967751;48005;50000000000;2400250000000000
52;14227120487;48005;50000000000;2400250000000000
53;14490831845;48005;50000000000;2400250000000000
54;14308349988;48005;50000000000;2400250000000000
55;14201628717;48005;50000000000;2400250000000000
56;14319217541;48005;50000000000;2400250000000000
57;14043858806;48005;50000000000;2400250000000000
58;14415754454;48005;50000000000;2400250000000000
59;14152303061;48005;50000000000;2400250000000000
60;14276072077;48005;50000000000;2400250000000000
61;14352944472;48005;50000000000;2400250000000000
62;14513723722;48005;50000000000;2400250000000000
63;14156330493;48005;50000000000;2400250000000000
64;14139170729;48005;50000000000;2400250000000000
65;14018214506;48005;50000000000;2400250000000000
66;14303775527;48005;50000000000;2400250000000000
67;14235040311;48005;50000000000;2400250000000000
68;14443679737;48005;50000000000;2400250000000000
69;14306521838;48005;50000000000;2400250000000000
70;14040696711;48005;50000000000;2400250000000000
71;14261213527;48005;50000000000;2400250000000000
72;14295829436;48005;50000000000;2400250000000000
73;14229566336;48005;50000000000;2400250000000000
74;14372830259;48005;50000000000;2400250000000000
75;14105533488;48005;50000000000;2400250000000000
76;14143527028;48005;50000000000;2400250000000000
77;14119022003;48005;50000000000;2400250000000000
78;14218442491;48005;50000000000;2400250000000000
79;14296780393;48005;50000000000;2400250000000000
80;14013525072;48005;50000000000;2400250000000000
81;14556499089;48005;50000000000;2400250000000000
82;14080384969;48005;50000000000;2400250000000000
83;14386621839;48005;50000000000;2400250000000000
84;29277760480;48005;50000000000;2400250000000000
85;14144367262;48005;50000000000;2400250000000000
86;14416988643;48005;50000000000;2400250000000000
87;14335631416;48005;50000000000;2400250000000000
88;14549560096;48005;50000000000;2400250000000000
89;13827815163;48005;50000000000;2400250000000000
90;14371707235;48005;50000000000;2400250000000000
91;14230016978;48005;50000000000;2400250000000000
92;29362294707;48005;50000000000;2400250000000000
93;14100365305;48005;50000000000;2400250000000000
94;14343902814;48005;50000000000;2400250000000000
95;14139984072;48005;50000000000;2400250000000000
96;14349973733;48005;50000000000;2400250000000000
97;14249350185;48005;50000000000;2400250000000000
98;14417750135;48005;50000000000;2400250000000000
99;14095931769;48005;50000000000;2400250000000000
