run;confirmationTime;gasUsed;gasPrice;gasCosts
0;8406733408;156732;5000000000;783660000000000
1;14671497133;156732;5000000000;783660000000000
2;14664761366;156732;5000000000;783660000000000
3;14592118833;156732;5000000000;783660000000000
4;14741778615;156732;5000000000;783660000000000
5;14767421488;156732;5000000000;783660000000000
6;14770753533;156732;5000000000;783660000000000
7;14687634665;156732;5000000000;783660000000000
8;14763151822;156732;5000000000;783660000000000
9;14587191531;156732;5000000000;783660000000000
10;14803083657;156732;5000000000;783660000000000
11;14638139334;156732;5000000000;783660000000000
12;14745701287;156732;5000000000;783660000000000
13;14930520964;156732;5000000000;783660000000000
14;14436558942;156732;5000000000;783660000000000
15;14892892765;156732;5000000000;783660000000000
16;14665453152;156732;5000000000;783660000000000
17;14757593674;156732;5000000000;783660000000000
18;14492637386;156732;5000000000;783660000000000
19;14965874112;156732;5000000000;783660000000000
20;14431238739;156732;5000000000;783660000000000
21;14988378467;156732;5000000000;783660000000000
22;14449083896;156732;5000000000;783660000000000
23;29841988943;156732;5000000000;783660000000000
24;14584028749;156732;5000000000;783660000000000
25;14929462820;156732;5000000000;783660000000000
26;14677772512;156732;5000000000;783660000000000
27;14663647546;156732;5000000000;783660000000000
28;14637591825;156732;5000000000;783660000000000
29;14776994776;156732;5000000000;783660000000000
30;14779789264;156732;5000000000;783660000000000
31;14652714579;156732;5000000000;783660000000000
32;14587217110;156732;5000000000;783660000000000
33;14955441609;156732;5000000000;783660000000000
34;14430711079;156732;5000000000;783660000000000
35;15007917814;156732;5000000000;783660000000000
36;14534049697;156732;5000000000;783660000000000
37;14695206010;156732;5000000000;783660000000000
38;14735765622;156732;5000000000;783660000000000
39;14700406279;156732;5000000000;783660000000000
40;14692579555;156732;5000000000;783660000000000
41;14558307334;156732;5000000000;783660000000000
42;14840328816;156732;5000000000;783660000000000
43;14714755308;156732;5000000000;783660000000000
44;14651105479;156732;5000000000;783660000000000
45;14830537332;156732;5000000000;783660000000000
46;14586728314;156732;5000000000;783660000000000
47;14727186939;156732;5000000000;783660000000000
48;14657879041;156732;5000000000;783660000000000
49;14835276064;156732;5000000000;783660000000000
50;14709153407;156732;5000000000;783660000000000
51;14660442088;156732;5000000000;783660000000000
52;14665036099;156732;5000000000;783660000000000
53;14874810642;156732;5000000000;783660000000000
54;29586782925;156732;5000000000;783660000000000
55;14665177346;156732;5000000000;783660000000000
56;14517979741;156732;5000000000;783660000000000
57;14899076059;156732;5000000000;783660000000000
58;14665151859;156732;5000000000;783660000000000
59;14862698330;156732;5000000000;783660000000000
60;14567718832;156732;5000000000;783660000000000
61;14828444284;156732;5000000000;783660000000000
62;14673311201;156732;5000000000;783660000000000
63;14650942381;156732;5000000000;783660000000000
64;14679203056;156732;5000000000;783660000000000
65;14588888340;156732;5000000000;783660000000000
66;14798525793;156732;5000000000;783660000000000
67;14768214190;156732;5000000000;783660000000000
68;14762041346;156732;5000000000;783660000000000
69;14874350558;156732;5000000000;783660000000000
70;14543428403;156732;5000000000;783660000000000
71;14663814501;156732;5000000000;783660000000000
72;29723523725;156732;5000000000;783660000000000
73;14535491195;156732;5000000000;783660000000000
74;14790206239;156732;5000000000;783660000000000
75;14816377864;156732;5000000000;783660000000000
76;14557935056;156732;5000000000;783660000000000
77;14540953612;156732;5000000000;783660000000000
78;14715505433;156732;5000000000;783660000000000
79;14862204997;156732;5000000000;783660000000000
80;14558999832;156732;5000000000;783660000000000
81;14766490634;156732;5000000000;783660000000000
82;14883912011;156732;5000000000;783660000000000
83;14576211030;156732;5000000000;783660000000000
84;14723637325;156732;5000000000;783660000000000
85;14606991217;156732;5000000000;783660000000000
86;14641765293;156732;5000000000;783660000000000
87;14527944960;156732;5000000000;783660000000000
88;14895575314;156732;5000000000;783660000000000
89;14631787088;156732;5000000000;783660000000000
90;14692832622;156732;5000000000;783660000000000
91;14722971239;156732;5000000000;783660000000000
92;14673120363;156732;5000000000;783660000000000
93;14769443547;156732;5000000000;783660000000000
94;14743425975;156732;5000000000;783660000000000
95;14621100137;156732;5000000000;783660000000000
96;14657596272;156732;5000000000;783660000000000
97;14777144366;156732;5000000000;783660000000000
98;14637804611;156732;5000000000;783660000000000
99;14930007866;156732;5000000000;783660000000000
